exchange,name,token,trading_symbol,lot_size,tick_size
NSE,GLOBUSSPR,17424,GLOBUSSPR-EQ,1,0.05
NSE,GLOBE,393,GLOBE-EQ,1,0.01
NSE,GLOBALVECT,13739,GLOBALVECT-BE,1,0.05
NSE,GLOBALPET,17167,GLOBALPET-SM,1500,0.05
NSE,GLOBALE,24934,GLOBALE-BE,1,0.01
NSE,GLOBAL,1415,GLOBAL-EQ,1,0.01
NSE,GLFL,8412,GLFL-BE,1,0.01
NSE,GLENMARK,7406,GLENMARK-EQ,1,0.05
NSE,GLAXO,1153,GLAXO-EQ,1,0.05
NSE,GLAND,1186,GLAND-EQ,1,0.05
NSE,GKWLIMITED,17357,GKWLIMITED-EQ,1,0.05
NSE,GIRRESORTS,9935,GIRRESORTS-IT,5000,0.05
NSE,GIRIRAJ,2365,GIRIRAJ-SM,250,0.05
NSE,GINNIFILA,1142,GINNIFILA-EQ,1,0.01
NSE,GEEKAYWIRE,17924,GEEKAYWIRE-BE,1,0.01
NSE,GEECEE,13658,GEECEE-EQ,1,0.05
NSE,GAYAHWS,3699,GAYAHWS-BE,1,0.01
NSE,FUSION,11932,FUSION-EQ,1,0.01
NSE,FSL,14304,FSL-EQ,1,0.05
NSE,FSC,14628,FSC-BZ,1,0.01
NSE,FROG,11501,FROG-SM,400,0.05
NSE,FRESHARA,25871,FRESHARA-ST,1200,0.05
NSE,FOSECOIND,1073,FOSECOIND-EQ,1,0.05
NSE,FORTIS,14592,FORTIS-EQ,1,0.05
NSE,FORGEAUTO,25664,FORGEAUTO-SM,1200,0.05
NSE,FORCEMOT,11573,FORCEMOT-EQ,1,0.05
NSE,FORCAS,24914,FORCAS-SM,1600,0.05
NSE,FOODSIN,6673,FOODSIN-EQ,1,0.01
NSE,FONEBOX,22517,FONEBOX-SM,1000,0.05
NSE,FOCUS,6839,FOCUS-BE,1,0.01
NSE,FOCE,7389,FOCE-ST,200,0.05
NSE,FMNL,21021,FMNL-BE,1,0.01
NSE,G1NSETEST,12842,G1NSETEST-EQ,1,0.05
NSE,GABRIEL,1085,GABRIEL-EQ,1,0.05
NSE,GAEL,8828,GAEL-EQ,1,0.01
NSE,GAIL,4717,GAIL-EQ,1,0.01
NSE,GATEWAY,8510,GATEWAY-EQ,1,0.01
NSE,GATECHDVR,27,GATECHDVR-BE,1,0.01
NSE,GATECH,18018,GATECH-BE,1,0.01
NSE,GARUDA,25800,GARUDA-EQ,1,0.01
NSE,GARFIBRES,1100,GARFIBRES-EQ,1,0.05
NSE,GANGESSECU,21399,GANGESSECU-EQ,1,0.01
NSE,GANGAFORGE,4957,GANGAFORGE-EQ,1,0.01
NSE,FLUOROCHEM,13750,FLUOROCHEM-EQ,1,0.05
NSE,GANESHHOUC,14339,GANESHHOUC-EQ,1,0.05
NSE,GANECOS,6944,GANECOS-EQ,1,0.05
NSE,GANDHITUBE,14116,GANDHITUBE-EQ,1,0.05
NSE,GANDHAR,20303,GANDHAR-EQ,1,0.01
NSE,GALLANTT,13341,GALLANTT-BE,1,0.05
NSE,GALAXYSURF,1315,GALAXYSURF-EQ,1,0.05
NSE,GALAPREC,25134,GALAPREC-EQ,1,0.05
NSE,GAJANAND,25247,GAJANAND-ST,3000,0.05
NSE,GANESHBE,5614,GANESHBE-EQ,1,0.01
NSE,HVAX,25708,HVAX-SM,300,0.05
NSE,HYBRIDFIN,12814,HYBRIDFIN-BE,1,0.01
NSE,HYUNDAI,25844,HYUNDAI-EQ,1,0.05
NSE,KATARIA,24528,KATARIA-SM,1200,0.05
NSE,KARURVYSYA,1838,KARURVYSYA-EQ,1,0.01
NSE,KARNIKA,19468,KARNIKA-ST,400,0.05
NSE,KARMAENG,24389,KARMAENG-BE,1,0.01
NSE,KAPSTON,18967,KAPSTON-EQ,1,0.01
NSE,KANSAINER,1196,KANSAINER-EQ,1,0.05
NSE,KANPRPLA,1782,KANPRPLA-EQ,1,0.01
NSE,KANORICHEM,1835,KANORICHEM-EQ,1,0.01
NSE,KANDARP,11211,KANDARP-ST,4000,0.05
NSE,KANANIIND,25786,KANANIIND-EQ,1,0.01
NSE,KAMOPAINTS,13817,KAMOPAINTS-BE,1,0.01
NSE,KAMDHENU,13457,KAMDHENU-EQ,1,0.05
NSE,KAMATHOTEL,1826,KAMATHOTEL-EQ,1,0.01
NSE,KALYANKJIL,2955,KALYANKJIL-EQ,1,0.05
